run_id,instance_id,seed,repeat,arm,source_sha256,protocol_sha256,input_sha256,status,root_status,actual_root_source,factor_fallback,physical_ok,complete_ok,recovery_success,projected_collision_status,T_physical_return,T_complete_return,T_total,reference_certified_body_clearance,group,simulation_executed,success,rms_position_error,max_position_error,rms_attitude_error_rad,max_attitude_error_rad,min_realized_clearance,min_floor_clearance,max_velocity,max_acceleration,max_jerk,max_thrust,max_rotor_thrust,max_body_rate,actuator_saturation_updates,actuator_saturation_duration,contact_steps,contact_events,body_collision_samples,final_position_error,samples,simulation_duration,log,log_sha256,simulation_wall_seconds,not_run_reason
B_s2_r1_factor,heldout_41002,41002,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8145963a5012891565829d05df29078b022a23186ddc897055d9c10fe2379e85,COMPLETE_SUCCESS,stationary,factor,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,29.462709004292265,166.22774999996182,166.23091699875658,1.5431522031620262,easy,True,True,0.008615084711500383,0.023789697888990977,0.0043334250202615695,0.019386622071044135,1.5438355091142022,1.27,1.9428914641510289,0.9896222281186376,1.0120160723072693,5.936333215235782,1.7938078092118817,0.39436419127415967,0,0.0,0,0,0,6.680302101053964e-05,10001,10.0,raw/B_s2_r1_factor.tracking.npz,66ab5e301b12d4318ec4c0a39a9e02eca6be10beb0b0ce6053211d5f72efce26,0.5185461250002845,
B_s2_r1_conic,heldout_41002,41002,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8145963a5012891565829d05df29078b022a23186ddc897055d9c10fe2379e85,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,150.9513330020127,291.5933749973192,291.5960829996038,1.5431522157085056,easy,True,True,0.00861508474572519,0.023789697982233186,0.004333425022698126,0.019386622070551605,1.5438355163463735,1.27,1.9428915930654482,0.9896223373863368,1.012016363614363,5.936333224235128,1.7938078091366465,0.3943641910842372,0,0.0,0,0,0,6.68030114769031e-05,10001,10.0,raw/B_s2_r1_conic.tracking.npz,f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861,0.5294935409983736,
B_s3_r0_factor,heldout_41003,41003,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,9356c960e2bbc3fabf383b375d0ab8926ec5cc6893dcf0d4d9c7b67a12259542,COMPLETE_SUCCESS,optimal,conic,True,True,True,False,NO_NEGATIVE_WITNESS_FOUND,378.39399999938905,524.2503340050462,524.2538750026142,1.5340775994998694,easy,True,True,0.008629697559664263,0.02384940111507009,0.004333086452394351,0.01938661784856229,1.5426048106824788,1.2700014271756648,1.94577255537327,0.9894073051328031,1.0245376250632994,5.917618730360418,1.793751510941766,0.3943628173779873,0,0.0,0,0,0,6.712193049156478e-05,10001,10.0,raw/B_s3_r0_factor.tracking.npz,04820dda588ffd8a425aa39cb8924dac82bd889e4684bd03d6cdf242b41a124a,0.5161078329983866,
B_s3_r0_conic,heldout_41003,41003,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,9356c960e2bbc3fabf383b375d0ab8926ec5cc6893dcf0d4d9c7b67a12259542,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,342.6330419970327,480.71562499535503,480.71866700047394,1.5340775994998694,easy,True,True,0.008629697559664263,0.02384940111507009,0.004333086452394351,0.01938661784856229,1.5426048106824788,1.2700014271756648,1.94577255537327,0.9894073051328031,1.0245376250632994,5.917618730360418,1.793751510941766,0.3943628173779873,0,0.0,0,0,0,6.712193049156478e-05,10001,10.0,raw/B_s3_r0_conic.tracking.npz,04820dda588ffd8a425aa39cb8924dac82bd889e4684bd03d6cdf242b41a124a,0.5228244999962044,
B_s3_r1_conic,heldout_41003,41003,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,9356c960e2bbc3fabf383b375d0ab8926ec5cc6893dcf0d4d9c7b67a12259542,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,168.64583300048253,306.8717909991392,306.8747080033063,1.5340775994998694,easy,True,True,0.008629697559664263,0.02384940111507009,0.004333086452394351,0.01938661784856229,1.5426048106824788,1.2700014271756648,1.94577255537327,0.9894073051328031,1.0245376250632994,5.917618730360418,1.793751510941766,0.3943628173779873,0,0.0,0,0,0,6.712193049156478e-05,10001,10.0,raw/B_s3_r1_conic.tracking.npz,04820dda588ffd8a425aa39cb8924dac82bd889e4684bd03d6cdf242b41a124a,0.5220695000025444,
B_s3_r1_factor,heldout_41003,41003,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,9356c960e2bbc3fabf383b375d0ab8926ec5cc6893dcf0d4d9c7b67a12259542,COMPLETE_SUCCESS,stationary,factor,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,34.728625003481284,208.4627090007416,208.46608399733668,1.5340777373938181,easy,True,True,0.00862969760922074,0.023849401267346314,0.004333086453034579,0.019386617848184302,1.5426049526004029,1.270001427175862,1.9457725405870938,0.9894072525176406,1.024537603857183,5.9176187324310625,1.7937515109333602,0.3943628172425818,0,0.0,0,0,0,6.71219426143479e-05,10001,10.0,raw/B_s3_r1_factor.tracking.npz,30efdd72e431318eef748f7509d4ae357f76e801feac10a8abe336bb77c309bf,0.5191706249970593,
B_s4_r0_conic,heldout_41004,41004,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d35b90ca5df1ff27e72820580cc6d1c8b557b66557a4a22fa3b6cca7a0257797,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,324.1303329996299,459.7171669956879,459.7197499970207,1.5439205365617454,easy,True,True,0.00862207339111617,0.023819119013762026,0.0043330264658142745,0.019386615909695547,1.547700535313721,1.27,1.9400343252031942,0.9872170359861278,1.0161076983425608,5.936152270531121,1.7937859391911617,0.39436190954047584,0,0.0,0,0,0,6.689507650420972e-05,10001,10.0,raw/B_s4_r0_conic.tracking.npz,d53256a86abffd04f9da6158a4ec7d8958b6fb63e9f2bb76fbd4d221c60682c4,0.5344220000042696,
B_s4_r0_factor,heldout_41004,41004,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d35b90ca5df1ff27e72820580cc6d1c8b557b66557a4a22fa3b6cca7a0257797,COMPLETE_SUCCESS,optimal,conic,True,True,True,False,NO_NEGATIVE_WITNESS_FOUND,333.7210829995456,503.58916699769907,503.59170800220454,1.5439205365617454,easy,True,True,0.00862207339111617,0.023819119013762026,0.0043330264658142745,0.019386615909695547,1.547700535313721,1.27,1.9400343252031942,0.9872170359861278,1.0161076983425608,5.936152270531121,1.7937859391911617,0.39436190954047584,0,0.0,0,0,0,6.689507650420972e-05,10001,10.0,raw/B_s4_r0_factor.tracking.npz,d53256a86abffd04f9da6158a4ec7d8958b6fb63e9f2bb76fbd4d221c60682c4,0.5279302499984624,
B_s4_r1_factor,heldout_41004,41004,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d35b90ca5df1ff27e72820580cc6d1c8b557b66557a4a22fa3b6cca7a0257797,COMPLETE_SUCCESS,stationary,factor,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,33.96312500262866,167.97608300112188,167.97945800499292,1.5439204753118247,easy,True,True,0.008622073374503544,0.023819118976203205,0.004333026461778094,0.0193866159106577,1.5477004792122846,1.27,1.940034437493097,0.9872171825784443,1.0161081149400446,5.936152251302332,1.7937859390483468,0.39436190988899816,0,0.0,0,0,0,6.689507044187778e-05,10001,10.0,raw/B_s4_r1_factor.tracking.npz,93f19cb91f34acdd1568bcdd536e818409a790e75529dcb6d5ba469a48c88f47,0.5226903749935445,
B_s4_r1_conic,heldout_41004,41004,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d35b90ca5df1ff27e72820580cc6d1c8b557b66557a4a22fa3b6cca7a0257797,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,152.68104200367816,288.06887500104494,288.0717919979361,1.5439205365617454,easy,True,True,0.00862207339111617,0.023819119013762026,0.0043330264658142745,0.019386615909695547,1.547700535313721,1.27,1.9400343252031942,0.9872170359861278,1.0161076983425608,5.936152270531121,1.7937859391911617,0.39436190954047584,0,0.0,0,0,0,6.689507650420972e-05,10001,10.0,raw/B_s4_r1_conic.tracking.npz,d53256a86abffd04f9da6158a4ec7d8958b6fb63e9f2bb76fbd4d221c60682c4,0.5193214579994674,
