seed,step,repeat,instance_id,input_sha256,protocol_sha256,source_sha256,conic_run_id,conic_physical_ok,conic_complete_ok,conic_recovery_attempted,conic_factor_fallback,conic_T_physical_return,conic_T_complete_return,conic_T_root,conic_trajectory_energy_exact,factor_run_id,factor_physical_ok,factor_complete_ok,factor_recovery_attempted,factor_factor_fallback,factor_T_physical_return,factor_T_complete_return,factor_T_root,factor_trajectory_energy_exact,delta_physical_ms,delta_complete_ms
31000,0,0,31000_0,6963e6d1eada8b8d46b833ab8cf67ae633db0733cbf5503750270170b521b54d,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t0_conic,True,True,False,False,95.94874999311287,134.20049999695038,52.33312500058673,"[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",A_r0_s31000_t0_factor,True,True,False,True,93.85170799941989,127.68595800298499,52.35204199561849,"[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",-2.097041993692983,-6.514541993965395
31000,0,1,31000_0,6963e6d1eada8b8d46b833ab8cf67ae633db0733cbf5503750270170b521b54d,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t0_conic,True,True,False,False,93.45570800360292,128.0963330063969,51.09558399999514,"[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",A_r1_s31000_t0_factor,True,True,False,True,95.31554199929815,130.56158399558626,53.507667005760595,"[""7227973225761850770649367881237868481611"",""446620606583731733295679172254195777536""]",1.859833995695226,2.4652509891893715
31000,1,0,31000_1,ad1d8259b38d47d89d142860292e1437aa9b62fd27b5da179124bdd74a297ffe,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t1_conic,True,True,True,False,93.02179200312821,126.67787499958649,25.93929100112291,"[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",A_r0_s31000_t1_factor,True,True,True,True,102.5315419974504,136.67687500128523,33.66604199982248,"[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",9.509749994322192,9.999000001698732
31000,1,1,31000_1,ad1d8259b38d47d89d142860292e1437aa9b62fd27b5da179124bdd74a297ffe,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t1_conic,True,True,True,False,96.65204200427979,131.00491699879058,26.069624997035135,"[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",A_r1_s31000_t1_factor,True,True,True,True,106.4124590047868,141.5195420049713,35.266708000563085,"[""5822480857875197206913530734936069777171942095498016648368359"",""324137387786665441690133938526244204387429435728916218118144""]",9.760417000507005,10.514625006180722
31000,2,0,31000_2,cb52f868db74434a988ec566803da48a084044e97c5b6b9d37ae2cc65550015f,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t2_conic,True,True,True,False,86.54370900330832,149.66062500025146,24.212374999478925,"[""117839425572827110580527405261589840001938255707633279436853"",""6752862245555530035211123719296754258071446577685754544128""]",A_r0_s31000_t2_factor,True,True,True,False,66.38050000037765,97.77695799857611,5.270458001177758,"[""353518300372451622053113464726131522349181025974223917100519"",""20258586736666590105633371157890262774214339733057263632384""]",-20.16320900293067,-51.88366700167535
31000,2,1,31000_2,cb52f868db74434a988ec566803da48a084044e97c5b6b9d37ae2cc65550015f,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t2_conic,True,True,True,False,87.81379200081574,122.80037500022445,24.75962499738671,"[""117839425572827110580527405261589840001938255707633279436853"",""6752862245555530035211123719296754258071446577685754544128""]",A_r1_s31000_t2_factor,True,True,True,False,80.82066700444557,113.09779200382764,5.540582998946775,"[""353518300372451622053113464726131522349181025974223917100519"",""20258586736666590105633371157890262774214339733057263632384""]",-6.99312499637017,-9.702582996396814
31000,3,0,31000_3,a9afec2a134cb80fb2f03e088c25477bfb4022380f2acd6044e0575ceb01140e,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t3_conic,True,True,True,False,88.3531250001397,121.88487499952316,25.283916998887435,"[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",A_r0_s31000_t3_factor,True,True,True,True,97.69058299571043,132.26866599870846,33.56620800332166,"[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",9.33745799557073,10.383790999185294
31000,3,1,31000_3,a9afec2a134cb80fb2f03e088c25477bfb4022380f2acd6044e0575ceb01140e,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t3_conic,True,True,True,False,90.81862500170246,125.53716600086773,25.669083996035624,"[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",A_r1_s31000_t3_factor,True,True,True,True,100.2206670018495,135.0185839983169,34.22462500020629,"[""12431709584877114109177329519213627755994149166560753"",""690003352051686903600466972006738620969715790512128""]",9.402042000147048,9.48141799744917
31000,4,0,31000_4,76430d5efde0b718d8a7860b3be6e6b21fef1bf2380fb50f61db359783d9db79,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r0_s31000_t4_conic,True,True,True,False,97.14812499441905,131.9635420004488,29.223957993963268,"[""465626889048319964268081103627096680972281138511463557"",""25760125143262977734417433621584908516202722845786112""]",A_r0_s31000_t4_factor,True,True,False,False,46.64216699893586,96.00279199366923,7.843458006391302,"[""3638275816992058538237758192530009210853"",""223310303291865866647839586127097888768""]",-50.505957995483186,-35.96075000677956
31000,4,1,31000_4,76430d5efde0b718d8a7860b3be6e6b21fef1bf2380fb50f61db359783d9db79,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,A_r1_s31000_t4_conic,True,True,True,False,98.50970799743664,132.92583300062688,29.017499997280538,"[""465626889048319964268081103627096680972281138511463557"",""25760125143262977734417433621584908516202722845786112""]",A_r1_s31000_t4_factor,True,True,False,False,28.19729199836729,78.19166699482594,7.896875002188608,"[""3638275816992058538237758192530009210853"",""223310303291865866647839586127097888768""]",-70.31241599906934,-54.734166005800944
