run_id,instance_id,seed,repeat,arm,group,physical_ok,complete_ok,status,projected_collision_status,simulation_executed,success,log,log_sha256
B_s4_r1_conic,heldout_41004,41004,1,conic,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/d53256a86abffd04f9da6158a4ec7d8958b6fb63e9f2bb76fbd4d221c60682c4.npz,d53256a86abffd04f9da6158a4ec7d8958b6fb63e9f2bb76fbd4d221c60682c4
B_s5_r0_factor,heldout_41005,41005,0,factor,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d
B_s5_r0_conic,heldout_41005,41005,0,conic,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d
B_s5_r1_conic,heldout_41005,41005,1,conic,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d
B_s5_r1_factor,heldout_41005,41005,1,factor,cluttered,True,True,COMPLETE_SUCCESS,COLLISION_WITNESSED,True,True,tracking/83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d.npz,83c48caa248e8cd12354104e89abe7cf25097225ce465594f912e3cb9ea9bb4d
B_s6_r0_conic,heldout_41006,41006,0,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s6_r0_factor,heldout_41006,41006,0,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s6_r1_factor,heldout_41006,41006,1,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s6_r1_conic,heldout_41006,41006,1,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s7_r0_factor,heldout_41007,41007,0,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s7_r0_conic,heldout_41007,41007,0,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s7_r1_conic,heldout_41007,41007,1,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s7_r1_factor,heldout_41007,41007,1,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s8_r0_conic,heldout_41008,41008,0,conic,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s8_r0_factor,heldout_41008,41008,0,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
B_s8_r1_factor,heldout_41008,41008,1,factor,cluttered,False,False,ROOT_FAILURE,NOT_AVAILABLE,False,False,,
